distance,parity,bravyi_kitaev,jordan_wigner
0.5,-5.669878942436729,-6.617442713755885,-6.774255919203056
0.6,-5.95350308870684,-6.908807990972433,-7.084747630769764
0.7,-6.08368695212881,-7.049718455080943,-7.2996931029478205
0.8,-6.324347126848924,-7.165414231868971,-7.435649705424918
0.9,-6.28439674172979,-7.308055134206022,-7.45745233462919
1.0,-6.413884527107255,-7.39550131806032,-7.543914015570014
1.1,-6.317883374904614,-7.303380756622682,-7.605609973383612
1.2000000000000002,-6.413694661474627,-7.4412510175062225,-7.562369651552527
1.3,-6.608714510045039,-7.432689800764919,-7.567341733394826
1.4,-6.660899749741739,-7.350089424589389,-7.5737555249673845
1.5,-6.655428300174592,-7.369954425540663,-7.618038371223615
1.6,-6.659825897161365,-7.505121894650388,-7.653981944074823
1.7000000000000002,-6.750787574483854,-7.415360931673426,-7.693199601278221
1.8,-6.7244568325764815,-7.301799818181161,-7.659008427997041
1.9000000000000001,-6.850079683145063,-7.523955102693794,-7.656201948144063
2.0,-6.78931104267928,-7.5120593097144495,-7.615907726216998
2.1,-6.88274271405158,-7.401518345454409,-7.612764900336158
2.2,-6.782691361336118,-7.555647436356606,-7.6018106274998996
2.3,-6.874514494588125,-7.467141024046401,-7.628382697212334
2.4000000000000004,-6.904219819591794,-7.504394648022299,-7.6550686694640095
2.5,-6.902014270628876,-7.4735382889595225,-7.698620190323734
2.6,-6.8881238302107715,-7.516927924990699,-7.609026460444882
2.7,-6.912650984332323,-7.277359490329115,-7.596060986028455
2.8000000000000003,-6.967586711876493,-7.466154348163872,-7.561703637875007
2.9000000000000004,-6.876113397869435,-7.452421252724148,-7.581948871954991
3.0,-7.026428723524748,-7.453008454464101,-7.522612241043197
3.1,-6.9809493001728695,-7.51091052829157,-7.5797045095487565
3.2,-7.019133727683542,-7.377075564483059,-7.607195117942647
3.3000000000000003,-6.899483700735518,-7.4703334229239475,-7.588134958248007
3.4000000000000004,-6.987022198205374,-7.377018853510752,-7.636030762121374
3.5,-7.015416727561078,-7.438287919764918,-7.516204824690595
