distance,parity,bravyi_kitaev,jordan_wigner
0.5,-4.485476712428369,-6.674647141454855,-6.748814915539256
0.6,-4.9923851049174,-6.915302175502443,-7.067121818384704
0.7,-5.116420442483859,-7.126099575790153,-7.31384159749726
0.8,-5.320621240064774,-7.268695745646662,-7.404439243407628
0.9,-5.473814695492139,-7.1870842351702215,-7.491913680852799
1.0,-5.597519866846935,-7.397427914181719,-7.5485183834348835
1.1,-5.551463293319534,-7.349997301487282,-7.519015262626323
1.2000000000000002,-5.666115598584747,-7.537394546917602,-7.691515033533677
1.3,-5.52782096261096,-7.337929181166659,-7.667428574629386
1.4,-5.394063233242689,-7.466890634578479,-7.5855949805605345
1.5,-5.620147085143382,-7.445669317310063,-7.681416654468425
1.6,-5.633454698402176,-7.410491929596158,-7.732797307742863
1.7000000000000002,-5.780470816572924,-7.444173711062506,-7.723752949042101
1.8,-5.832696189484622,-7.519721800808801,-7.683468185539671
1.9000000000000001,-5.904979657062094,-7.547637098035134,-7.645729603403503
2.0,-5.94075170432153,-7.5497989697055,-7.648673989713328
2.1,-5.91028650598872,-7.478407072170089,-7.730140438878908
2.2,-6.000940736394808,-7.521394039828967,-7.63084092510323
2.3,-5.975247264765205,-7.452813591563252,-7.674696436497944
2.4000000000000004,-6.024518553068074,-7.485020697499509,-7.617742189038779
2.5,-6.1078056456627055,-7.471117310559943,-7.625745233464434
2.6,-6.074259337023742,-7.499437650107019,-7.673534344014112
2.7,-6.2337517163718035,-7.439736246684295,-7.638533846351475
2.8000000000000003,-6.222831526848613,-7.487164128365422,-7.611613412204196
2.9000000000000004,-6.289999351830065,-7.481053383444998,-7.599093799362401
3.0,-6.210410410961478,-7.441995503370431,-7.582407951512386
3.1,-6.2622411146482895,-7.4870888936066295,-7.557267502825346
3.2,-6.234060080940262,-7.48018863132955,-7.627457969158017
3.3000000000000003,-6.287922111295378,-7.382281474313998,-7.565745264553067
3.4000000000000004,-6.245465978569374,-7.475496888685652,-7.563292502385535
3.5,-6.426158001645948,-7.482411502719218,-7.5821778801380155
