distance,parity,bravyi_kitaev,jordan_wigner
0.5,-4.470754414961895,-6.742016894553404,-6.832065388275146
0.6,-4.98251169207515,-6.979896826559678,-7.095048792609483
0.7,-5.243693258757176,-7.087333881003612,-7.27119123517904
0.8,-5.401276634182532,-7.299098593364187,-7.458825968681891
0.9,-5.409945246151981,-7.325412308760821,-7.562432030647368
1.0,-5.504975547467503,-7.418802239649458,-7.58495818278967
1.1,-5.5394072306868525,-7.417754709948323,-7.608400656556674
1.2000000000000002,-5.531765656194356,-7.439866121783869,-7.631117222274121
1.3,-5.62559877634818,-7.51940839788255,-7.723563092105145
1.4,-5.624505173386758,-7.518244077276514,-7.6875181228088785
1.5,-5.6626590199719224,-7.518701645349498,-7.719369234654248
1.6,-5.684520419151386,-7.604015663640221,-7.635118653072236
1.7000000000000002,-5.707839112012261,-7.517384955466682,-7.662733887480716
1.8,-5.891611335347849,-7.560011498214662,-7.699602628523004
1.9000000000000001,-5.942500313452557,-7.566241488902435,-7.721192292746155
2.0,-5.9498882253637415,-7.572566446561013,-7.665664626862798
2.1,-5.907007268688178,-7.58826499136272,-7.637921779462421
2.2,-5.987936462053408,-7.5138600919234095,-7.707970393914651
2.3,-5.938613845212666,-7.527473298702548,-7.686988098603583
2.4000000000000004,-6.096611259553959,-7.570060179134861,-7.696975372931971
2.5,-6.144833179778274,-7.591782150922685,-7.642610615822666
2.6,-6.104185732771706,-7.552066437120328,-7.624376542429315
2.7,-6.085055469362997,-7.495794749231613,-7.656092707798535
2.8000000000000003,-6.1942913427804,-7.57552955292066,-7.679203060275127
2.9000000000000004,-6.256019281148179,-7.485706340480769,-7.6152558635742995
3.0,-6.2556322754908384,-7.509687427534566,-7.644322577377391
3.1,-6.202333011302078,-7.5420849116980415,-7.635017044946593
3.2,-6.2325945591040695,-7.483568745507621,-7.624851119083928
3.3000000000000003,-6.289397346315546,-7.495916169310037,-7.574302409522616
3.4000000000000004,-6.329139614461714,-7.427173695512164,-7.573131963506226
3.5,-6.275417222489571,-7.427603463256301,-7.613494455740421
